Gadgets information
============================================================
0x0809e102 : pop ds ; pop ebx ; pop esi ; pop edi ; ret
0x0809e0fa : pop eax ; pop ebx ; pop esi ; pop edi ; ret
0x080b91e6 : pop eax ; ret
0x0804c56d : pop eax ; ret 0x80e
0x080d9ff8 : pop eax ; ret 0xfff7
0x080dfcd8 : pop eax ; ret 0xfff9
0x0805bf3d : pop ebp ; pop ebx ; pop esi ; pop edi ; ret
0x0809e4c5 : pop ebp ; pop esi ; pop edi ; ret
0x080483ba : pop ebp ; ret
0x080a25b9 : pop ebp ; ret 0x10
0x08096b21 : pop ebp ; ret 0x14
0x080718b4 : pop ebp ; ret 0xc
0x0804ab69 : pop ebp ; ret 4
0x08049a98 : pop ebp ; ret 8
0x0809e4c4 : pop ebx ; pop ebp ; pop esi ; pop edi ; ret
0x0809a7dc : pop ebx ; pop edi ; ret
0x0806fc09 : pop ebx ; pop edx ; ret
0x0804f460 : pop ebx ; pop esi ; pop ebp ; ret
0x080483b7 : pop ebx ; pop esi ; pop edi ; pop ebp ; ret
0x080a25b6 : pop ebx ; pop esi ; pop edi ; pop ebp ; ret 0x10
0x08096b1e : pop ebx ; pop esi ; pop edi ; pop ebp ; ret 0x14
0x080718b1 : pop ebx ; pop esi ; pop edi ; pop ebp ; ret 0xc
0x0804ab66 : pop ebx ; pop esi ; pop edi ; pop ebp ; ret 4
0x08049a95 : pop ebx ; pop esi ; pop edi ; pop ebp ; ret 8
0x080509a5 : pop ebx ; pop esi ; pop edi ; ret
0x080498af : pop ebx ; pop esi ; pop edi ; ret 4
0x08049923 : pop ebx ; pop esi ; ret
0x080481ad : pop ebx ; ret
0x080d413c : pop ebx ; ret 0x6f9
0x08099f96 : pop ebx ; ret 8
0x0806fc31 : pop ecx ; pop ebx ; ret
0x080483b9 : pop edi ; pop ebp ; ret
0x080a25b8 : pop edi ; pop ebp ; ret 0x10
0x08096b20 : pop edi ; pop ebp ; ret 0x14
0x080718b3 : pop edi ; pop ebp ; ret 0xc
0x0804ab68 : pop edi ; pop ebp ; ret 4
0x08049a97 : pop edi ; pop ebp ; ret 8
0x08063adb : pop edi ; pop esi ; pop ebx ; ret
0x0805cd88 : pop edi ; pop esi ; ret
0x0805099d : pop edi ; ret
0x080498b1 : pop edi ; ret 4
0x0806fc30 : pop edx ; pop ecx ; pop ebx ; ret
0x0806fc0a : pop edx ; ret
0x0809bff2 : pop edx ; ret 0xfffa
0x0809e0f9 : pop es ; pop eax ; pop ebx ; pop esi ; pop edi ; ret
0x0807b1b0 : pop es ; pop ebx ; ret
0x0806795a : pop es ; pop edi ; ret
0x08067b9a : pop es ; ret
0x0804f461 : pop esi ; pop ebp ; ret
0x0806fc08 : pop esi ; pop ebx ; pop edx ; ret
0x0805d090 : pop esi ; pop ebx ; ret
0x080483b8 : pop esi ; pop edi ; pop ebp ; ret
0x080a25b7 : pop esi ; pop edi ; pop ebp ; ret 0x10
0x08096b1f : pop esi ; pop edi ; pop ebp ; ret 0x14
0x080718b2 : pop esi ; pop edi ; pop ebp ; ret 0xc
0x0804ab67 : pop esi ; pop edi ; pop ebp ; ret 4
0x08049a96 : pop esi ; pop edi ; pop ebp ; ret 8
0x0805099c : pop esi ; pop edi ; ret
0x080498b0 : pop esi ; pop edi ; ret 4
0x08048a18 : pop esi ; ret
0x08093efe : pop esi ; ret 0xfffd
0x0805b8a0 : pop esp ; pop ebx ; pop esi ; pop edi ; pop ebp ; ret
0x080b9196 : pop esp ; ret
0x0804c5cc : pop esp ; ret 0x80e
0x0809efe2 : pop ss ; pop ebx ; pop esi ; pop edi ; pop ebp ; ret
0x080a8623 : pop ss ; ret
0x08064169 : pop ss ; ret 0x2c73
0x08064b2a : pop ss ; ret 0x3273
0x08064154 : pop ss ; ret 0x3e73
0x08064b10 : pop ss ; ret 0x4c73
0x0806413f : pop ss ; ret 0x5073
0x0806412a : pop ss ; ret 0x6273
0x08064af6 : pop ss ; ret 0x6673
0x080626a5 : pop ss ; ret 0x830f
0x08048196 : ret
0x08051475 : ret 0x4d8b
0x0804eeb3 : ret 0x4e0f
0x080d35e3 : ret 0x4e27
0x08051ab2 : ret 0x5052
0x08090ea2 : ret 0x5053
0x080ab9ae : ret 0x5055
0x08064140 : ret 0x5073
0x080b8e5e : ret 0x5074
0x080af575 : ret 0x508d
0x0804fc96 : ret 0x512c
0x080b3280 : ret 0x5152
0x0809b16f : ret 0x51e9
0x0804aa2c : ret 0x5201
0x0809a623 : ret 0x5210
0x08064ece : ret 0x528d
0x080612f2 : ret 0x5310
0x0809ff26 : ret 0x5356
0x08094b2a : ret 0x5374
0x08068cf8 : ret 0x5375
0x0808aff8 : ret 0x5389
0x080ae2bb : ret 0x5409
0x0808576d : ret 0x542b
0x080a08e8 : ret 0x5438
0x080a0873 : ret 0x543a
0x0806cfa8 : ret 0x5484
0x0806ce9f : ret 0x5488
0x080492b9 : ret 0x5489
0x080d184c : ret 0x5508
0x0805b9bb : ret 0x5589
0x0809a3d0 : ret 0x558b
0x0806c2e8 : ret 0x5608
0x0808092b : ret 0x5652
0x080565a1 : ret 0x5657
0x080988f3 : ret 0x5689
0x0806faae : ret 0x56c3
0x08062765 : ret 0x5708
0x08069cbc : ret 0x5710
0x0804feef : ret 0x572b
0x080b8e7b : ret 0x574
0x080ad9d6 : ret 0x5752
0x08074e07 : ret 0x57e9
0x080d3b14 : ret 0x5803
0x080d1520 : ret 0x591c
0x080d2287 : ret 0x5ae4
0x080779cd : ret 0x5be
0x0806d00d : ret 0x5c89
0x0808fe50 : ret 0x5c8b
0x080b66dc : ret 0x5d5e
0x08069350 : ret 0x5deb
0x08057ca5 : ret 0x5e89
0x0804e476 : ret 0x5e9
0x08053687 : ret 0x5f3c
0x080941f7 : ret 0x5f6
0x080be1e4 : ret 0x60a
0x08051bbc : ret 0x6176
0x0806412b : ret 0x6273
0x080d3fae : ret 0x62c1
0x0809be97 : ret 0x65e9
0x08067e53 : ret 0x6640
0x08064af7 : ret 0x6673
0x08072f73 : ret 0x674
0x08069627 : ret 0x676
0x080d153f : ret 0x67b2
0x0806d315 : ret 0x67e9
0x0809905b : ret 0x6850
0x0806df74 : ret 0x6b8
0x0809f030 : ret 0x6b89
0x08059146 : ret 0x6d74
0x080591fe : ret 0x6f74
0x080512eb : ret 0x6f8d
0x080d413d : ret 0x6f9
0x0804b475 : ret 0x703
0x0806f0dd : ret 0x7074
0x0805a055 : ret 0x7374
0x08054c3a : ret 0x7401
0x08050cb2 : ret 0x7402
0x08048d93 : ret 0x7420
0x080821f8 : ret 0x7440
0x080821d9 : ret 0x7450
0x08094a6a : ret 0x7459
0x0805acc7 : ret 0x7489
0x08094aab : ret 0x748d
0x080aa548 : ret 0x74e9
0x08095137 : ret 0x74ff
0x08063aaf : ret 0x7501
0x08063ab4 : ret 0x7502
0x0806fe30 : ret 0x7503
0x08063ab9 : ret 0x7504
0x08063abe : ret 0x7508
0x08063ac3 : ret 0x7510
0x08063ac8 : ret 0x7520
0x08063acd : ret 0x7540
0x080919dc : ret 0x768d
0x0804c964 : ret 0x76e8
0x0804836f : ret 0x776
0x080a751d : ret 0x7874
0x080568b0 : ret 0x78b
0x080779a1 : ret 0x7be
0x080b8f41 : ret 0x7c80
0x08096800 : ret 0x7c89
0x08084363 : ret 0x7cd9
0x08078eeb : ret 0x7d7d
0x080627a5 : ret 0x7e10
0x0808a427 : ret 0x7f3c
0x0805d7c5 : ret 0x80
0x080b9bb1 : ret 0x8001
0x08091fc6 : ret 0x8008
0x08094aff : ret 0x80a1
0x080d6b39 : ret 0x80b
0x0804964b : ret 0x80e
0x0805a1e7 : ret 0x8101
0x080ba433 : ret 0x8166
0x080ba7d5 : ret 0x820f
0x08059a17 : ret 0x828b
0x0804a11a : ret 0x8301
0x0805d061 : ret 0x8304
0x08061297 : ret 0x8308
0x0805c57b : ret 0x830f
0x080608e0 : ret 0x8310
0x0805d045 : ret 0x8320
0x0805ddca : ret 0x8340
0x080726b6 : ret 0x8365
0x0804f5d1 : ret 0x8389
0x080acec9 : ret 0x83ff
0x08092c7a : ret 0x8401
0x0804c758 : ret 0x840f
0x0805b9ac : ret 0x8501
0x0807e5e9 : ret 0x8503
0x08085760 : ret 0x8504
0x0808fe49 : ret 0x8506
0x0804b5bc : ret 0x8508
0x08051db7 : ret 0x850f
0x08069aaa : ret 0x8540
0x0804b02a : ret 0x8589
0x08086c14 : ret 0x858b
0x080870e0 : ret 0x858d
0x0807df71 : ret 0x85c7
0x08048c7b : ret 0x860f
0x0807d738 : ret 0x870f
0x080d0e66 : ret 0x871e
0x0809ad94 : ret 0x874
0x0808a42e : ret 0x875
0x0804cf26 : ret 0x8801
0x08084124 : ret 0x8820
0x0805c434 : ret 0x8901
0x08076bea : ret 0x8902
0x08074dc4 : ret 0x8904
0x0809741d : ret 0x8908
0x0804e80f : ret 0x8909
0x0805fc2c : ret 0x8910
0x08096963 : ret 0x891d
0x080bb624 : ret 0x8955
0x080567e4 : ret 0x895b
0x0805851d : ret 0x897c
0x08081c84 : ret 0x8b01
0x0804b59c : ret 0x8b04
0x080706dd : ret 0x8b08
0x080d368a : ret 0x8b36
0x080a03e9 : ret 0x8b3c
0x0807a81d : ret 0x8d01
0x0804a9a1 : ret 0x8d04
0x0804f066 : ret 0x8d0f
0x080699f1 : ret 0x8d10
0x08072856 : ret 0x8d3c
0x0805a0c8 : ret 0x8d75
0x0804e74a : ret 0x8d90
0x08073560 : ret 0x8dc3
0x08080859 : ret 0x8f0f
0x0807635e : ret 0x901
0x08078961 : ret 0x90bb
0x080b970d : ret 0x90c3
0x08099802 : ret 0x940f
0x0806e502 : ret 0x950f
0x080a5b12 : ret 0x9539
0x080a6b27 : ret 0x953b
0x0804ae6d : ret 0x953d
0x080d24b3 : ret 0x9576
0x0808756a : ret 0x9589
0x080898f6 : ret 0x958b
0x0809c920 : ret 0x962b
0x0804a20d : ret 0x96e9
0x0809d7cc : ret 0x974
0x080b72d8 : ret 0x9789
0x080a3545 : ret 0x9875
0x0806d2e6 : ret 0x99eb
0x080568f7 : ret 0x9a74
0x080c7bc0 : ret 0xa
0x08057e65 : ret 0xa101
0x0808109c : ret 0xa2e9
0x0809a0a6 : ret 0xa3c
0x080baac9 : ret 0xa473
0x080d21a3 : ret 0xa514
0x08057e6d : ret 0xa7e
0x0804f54a : ret 0xaa
0x080d2627 : ret 0xac65
0x080d2fe0 : ret 0xacfc
0x080835c0 : ret 0xad83
0x08087069 : ret 0xb
0x080a1c65 : ret 0xb0ff
0x0809910d : ret 0xb373
0x08083906 : ret 0xb37d
0x080b391f : ret 0xb474
0x0804a076 : ret 0xb60f
0x080b2721 : ret 0xb68d
0x08074052 : ret 0xb6e9
0x08090690 : ret 0xb70f
0x0805a125 : ret 0xb775
0x0806d2de : ret 0xb8
0x0806d2ba : ret 0xb9
0x080d24ee : ret 0xb9b9
0x0809aba4 : ret 0xba
0x0808c75f : ret 0xbbe8
0x0807ec3e : ret 0xbd80
0x0809a28a : ret 0xbd83
0x080d2244 : ret 0xbe57
0x080a71d0 : ret 0xbe75
0x0806eb3b : ret 0xbee
0x080718b5 : ret 0xc
0x08090cc9 : ret 0xc031
0x0804e09a : ret 0xc075
0x08074bf7 : ret 0xc083
0x08093287 : ret 0xc084
0x08068e3e : ret 0xc085
0x08064dff : ret 0xc0be
0x0804e758 : ret 0xc101
0x080aca10 : ret 0xc102
0x08081d92 : ret 0xc11f
0x08070edb : ret 0xc183
0x0804b796 : ret 0xc189
0x08057558 : ret 0xc208
0x080ac3b5 : ret 0xc220
0x08086ebb : ret 0xc221
0x08090140 : ret 0xc269
0x080758ef : ret 0xc283
0x08059735 : ret 0xc289
0x08064979 : ret 0xc2bb
0x0808f5b0 : ret 0xc2c7
0x080e0a0d : ret 0xc30a
0x0809abb1 : ret 0xc35f
0x080587b0 : ret 0xc383
0x08057ee2 : ret 0xc389
0x0804ca92 : ret 0xc483
0x080d0a82 : ret 0xc4c3
0x080d1df8 : ret 0xc4ff
0x0808e02f : ret 0xc5e9
0x08077719 : ret 0xc5eb
0x08072f77 : ret 0xc601
0x08050add : ret 0xc689
0x080a8915 : ret 0xc701
0x0807802d : ret 0xc704
0x080906d6 : ret 0xc708
0x08048e3f : ret 0xc74
0x080a0ddc : ret 0xc783
0x080ba955 : ret 0xc789
0x08091020 : ret 0xc80f
0x0807d229 : ret 0xc83d
0x080580fc : ret 0xc889
0x080910e8 : ret 0xc8d
0x0807303a : ret 0xc931
0x0806e60e : ret 0xca20
0x08048678 : ret 0xca21
0x0805c826 : ret 0xca29
0x080a2d42 : ret 0xca77
0x0807b4b1 : ret 0xca81
0x0808c46c : ret 0xca83
0x0809e45a : ret 0xcb01
0x0805bd10 : ret 0xcb8
0x080e8d02 : ret 0xcc0
0x08057181 : ret 0xcc75
0x080d188a : ret 0xcca7
0x080d3969 : ret 0xcd11
0x0804c439 : ret 0xce80
0x0809bdc7 : ret 0xce89
0x080bb849 : ret 0xceeb
0x0806e505 : ret 0xcf39
0x080c7fc0 : ret 0xd
0x08070401 : ret 0xd009
0x0806f961 : ret 0xd029
0x0804921e : ret 0xd039
0x0804cbc4 : ret 0xd089
0x0809c917 : ret 0xd108
0x080a0361 : ret 0xd129
0x080a070f : ret 0xd138
0x08075e9a : ret 0xd184
0x0807b6eb : ret 0xd189
0x080995be : ret 0xd231
0x080ad07b : ret 0xd284
0x08048378 : ret 0xd285
0x0806fc71 : ret 0xd3eb
0x080770df : ret 0xd539
0x080a8acb : ret 0xd629
0x0805913d : ret 0xd639
0x080a6899 : ret 0xd729
0x0808d5f6 : ret 0xd73
0x0805a3e1 : ret 0xd739
0x08075b4e : ret 0xd776
0x08057dd4 : ret 0xd801
0x080568b9 : ret 0xd875
0x0804b765 : ret 0xd889
0x08048cec : ret 0xd89
0x080d3401 : ret 0xd8f
0x080901ba : ret 0xd8f7
0x08099b17 : ret 0xd989
0x08057454 : ret 0xda01
0x080b8f51 : ret 0xda84
0x0804f429 : ret 0xdaf7
0x08067d6a : ret 0xdb31
0x0805a0de : ret 0xdb85
0x0809c6e8 : ret 0xdc75
0x080d34e2 : ret 0xdcd9
0x0807113a : ret 0xdceb
0x080d2462 : ret 0xde5d
0x080d11f5 : ret 0xde9e
0x08056406 : ret 0xdf75
0x080547a8 : ret 0xe083
0x0805d5ec : ret 0xe0c1
0x08048d09 : ret 0xe183
0x080740b8 : ret 0xe1e9
0x0808e525 : ret 0xe280
0x0804f1e8 : ret 0xe281
0x08048d6f : ret 0xe283
0x0804e5b4 : ret 0xe2c1
0x0809cf87 : ret 0xe2d3
0x080a6997 : ret 0xe37f
0x0806cd3d : ret 0xe383
0x080dd623 : ret 0xe41
0x080d3602 : ret 0xe71f
0x080564de : ret 0xe775
0x0809ddc6 : ret 0xe829
0x0808f6b1 : ret 0xe883
0x0805c481 : ret 0xe889
0x080a1422 : ret 0xe8b8
0x0809553f : ret 0xe8c0
0x0809eeb7 : ret 0xe8c1
0x0804a1cc : ret 0xe901
0x0804a218 : ret 0xe902
0x080d1967 : ret 0xe970
0x080755e1 : ret 0xe983
0x080501f2 : ret 0xea81
0x080a222f : ret 0xea83
0x08081c32 : ret 0xeac0
0x080488ce : ret 0xeac1
0x080965dc : ret 0xead1
0x08075bc4 : ret 0xead3
0x080916e1 : ret 0xeb01
0x08075f9d : ret 0xeb29
0x080d4114 : ret 0xec2
0x08099ae8 : ret 0xec75
0x0808b942 : ret 0xec83
0x080583fa : ret 0xed85
0x08082fa7 : ret 0xee7f
0x08080b8c : ret 0xeee9
0x080d3db6 : ret 0xef32
0x0805d6aa : ret 0xf
0x080ad963 : ret 0xf001
0x0804e951 : ret 0xf01
0x08068a1a : ret 0xf02
0x08082a4a : ret 0xf029
0x0806292f : ret 0xf04
0x08056794 : ret 0xf07
0x080af55f : ret 0xf074
0x0808641c : ret 0xf08
0x080499a5 : ret 0xf089
0x080689c3 : ret 0xf10
0x080b8f55 : ret 0xf139
0x0807a7d4 : ret 0xf175
0x0807c87b : ret 0xf189
0x080826d7 : ret 0xf1f
0x080689d4 : ret 0xf20
0x0805ade6 : ret 0xf289
0x08082732 : ret 0xf375
0x08059faa : ret 0xf377
0x080689e5 : ret 0xf40
0x08094e71 : ret 0xf475
0x08082c08 : ret 0xf50
0x08062604 : ret 0xf608
0x08070e7c : ret 0xf610
0x0806d594 : ret 0xf631
0x0805db88 : ret 0xf66
0x0805a465 : ret 0xf685
0x08053d46 : ret 0xf689
0x080ba495 : ret 0xf74
0x0805c41e : ret 0xf775
0x080b39f4 : ret 0xf7f
0x080751b3 : ret 0xf800
0x080a3751 : ret 0xf801
0x0808bcfb : ret 0xf829
0x080d10d4 : ret 0xf869
0x0808fa02 : ret 0xf883
0x0809c331 : ret 0xf889
0x0806f5d6 : ret 0xf8c1
0x080afd34 : ret 0xf929
0x080a3ad3 : ret 0xf983
0x0805738b : ret 0xfa01
0x0805368e : ret 0xfa09
0x080aecca : ret 0xfa29
0x080b034f : ret 0xfa81
0x080725f9 : ret 0xfa83
0x08050d52 : ret 0xfac1
0x0809c2da : ret 0xfad3
0x08083cf4 : ret 0xfb01
0x08094b4a : ret 0xfb36
0x080a404a : ret 0xfb64
0x0809504a : ret 0xfc54
0x0808b74a : ret 0xfce8
0x080775da : ret 0xfd20
0x080744da : ret 0xfd51
0x0809a27a : ret 0xfe23
0x0809004a : ret 0xfe83
0x08074e76 : ret 0xfe89
0x080530ea : ret 0xfe9
0x080713fa : ret 0xfead
0x080ad5ea : ret 0xff0a
0x08064974 : ret 0xff3
0x08056217 : ret 0xff50
0x0807e428 : ret 0xff52
0x0807906a : ret 0xff5f
0x080531e0 : ret 0xff81
0x08073558 : ret 0xffba
0x080b0e74 : ret 0xffbf
0x0807cb79 : ret 0xffd8
0x080956aa : ret 0xffe2
0x08080e18 : ret 0xffe7
0x080712e1 : ret 0xffe8
0x0809c45a : ret 0xffe9
0x0807b1cb : ret 0xfff0
0x080871e7 : ret 0xfff3
0x080d9f1d : ret 0xfff7
0x0804db49 : ret 0xfff8
0x080dfcd9 : ret 0xfff9
0x08058ba5 : ret 0xfffa
0x08056e4a : ret 0xfffb
0x0804b399 : ret 0xfffc
0x0806d41e : ret 0xfffd
0x0806fedf : ret 0xfffe
0x08055336 : ret 0xffff
0x0805fb06 : ret 1
0x0805fb1c : ret 2
0x0805faaa : ret 3
0x080498b2 : ret 4
0x080572be : ret 5
0x080abe7a : ret 6
0x08061d71 : ret 7
0x08049a99 : ret 8
0x080cc464 : ret 9

Unique gadgets found: 644
